student_id,age,gender,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,exercise_minutes,assignments_completed,attendance_percentage,stress_level,focus_score,final_grade,productivity_score
980,22,Other,9.4,3.03,5.97,5.75,1.3,2.12,11,157,69,14,53.0,10,38,59.59,42.94
981,17,Male,7.67,8.31,10.13,1.75,0.69,0.27,3,50,104,10,76.18,7,79,65.48,63.24
982,21,Female,3.14,9.24,1.98,3.95,5.77,1.64,11,465,31,17,92.43,6,64,89.66,58.24
983,25,Other,7.32,5.22,6.42,6.33,4.28,3.21,8,281,36,16,64.14,5,88,78.63,62.52
984,28,Male,3.3,5.34,4.86,2.96,3.93,2.42,9,233,28,2,80.73,7,96,71.09,51.14
985,26,Male,1.56,3.01,6.71,5.73,5.71,5.9,9,221,67,2,45.36,10,35,41.5,5.64
986,18,Female,7.31,6.0,1.17,4.67,5.87,2.25,1,405,56,5,53.66,2,61,74.85,65.88
987,17,Female,2.2,7.29,6.65,2.68,5.48,4.97,7,272,35,1,99.54,1,44,48.89,41.44
988,26,Female,1.56,3.86,6.82,3.31,3.96,0.11,8,92,42,6,74.14,4,55,77.21,25.36
989,29,Male,5.74,7.6,10.51,5.89,2.98,2.7,10,59,103,7,70.29,6,36,63.4,38.59
990,27,Female,6.4,5.56,2.79,5.99,0.26,2.59,12,471,33,10,43.6,10,60,65.26,47.56
991,25,Male,0.99,7.71,9.87,7.13,5.26,5.48,8,398,113,9,54.75,10,68,82.14,22.94
992,26,Male,0.54,4.76,9.14,4.31,0.6,1.65,14,28,93,9,86.85,8,39,84.39,12.19
993,25,Male,8.88,8.42,11.02,3.55,0.52,2.73,11,216,82,3,67.96,3,99,84.77,76.78
994,25,Male,1.59,6.84,11.0,6.25,3.94,3.92,4,117,11,6,83.13,5,66,63.7,30.7
995,22,Female,6.05,6.73,9.31,3.09,4.99,4.4,14,137,106,19,95.15,3,42,71.05,48.72
996,24,Female,9.56,6.42,11.14,4.75,4.11,5.85,14,149,84,14,88.94,2,77,84.4,71.48
997,27,Female,5.36,8.89,3.48,6.08,2.19,5.89,11,275,87,0,50.27,10,46,55.11,47.48
998,29,Male,1.83,6.88,2.29,7.4,4.98,3.34,10,461,13,15,81.73,10,74,91.91,42.91
999,17,Female,4.24,4.12,3.72,7.11,0.03,4.09,8,268,9,14,81.71,5,38,75.37,37.29
1000,26,Female,6.43,7.38,10.16,5.29,0.99,0.58,4,205,39,17,98.94,8,30,51.92,42.07
1001,20,Male,7.75,6.6,4.11,0.16,3.01,5.15,10,416,48,10,70.61,2,57,73.02,66.09
1002,17,Female,6.27,3.48,9.91,5.91,5.27,2.06,1,28,13,2,67.08,3,31,91.77,31.83
1003,24,Female,0.83,7.07,4.78,2.65,0.62,3.34,14,318,66,15,82.8,5,80,57.87,42.58
1004,17,Female,1.86,3.56,9.69,6.67,3.01,5.39,2,414,89,16,88.68,10,72,43.59,22.58
1005,19,Male,4.03,8.07,10.24,0.21,1.23,0.79,1,120,101,18,74.96,3,50,50.46,41.43
1006,29,Female,7.2,7.58,8.3,0.91,1.3,5.15,6,128,40,4,81.21,6,49,41.47,54.39
1007,20,Female,6.05,6.45,11.77,5.52,5.05,0.95,12,93,103,10,93.0,3,55,49.87,47.85
1008,24,Male,0.92,8.24,8.9,2.13,1.01,1.87,1,345,75,16,87.52,6,95,61.18,44.0
1009,22,Female,8.07,4.97,3.32,2.54,0.41,3.99,9,345,64,0,48.42,9,68,60.24,56.77
1010,26,Male,6.25,6.12,11.82,3.2,0.51,4.41,11,228,49,0,92.0,5,65,97.88,48.65
1011,28,Female,8.93,3.11,8.36,1.52,2.1,4.5,6,72,7,9,72.0,4,36,50.15,46.16
1012,23,Female,4.47,9.92,5.51,6.88,3.25,5.48,14,11,11,5,82.57,7,88,97.56,65.2
1013,24,Female,5.16,3.39,6.16,0.71,0.07,1.74,3,152,33,9,96.05,6,82,56.47,50.83
1014,18,Female,4.35,3.73,9.31,1.36,5.96,4.61,1,188,63,3,87.62,1,49,50.81,36.5
1015,29,Male,7.36,6.46,9.16,3.05,5.63,5.96,8,306,34,17,86.7,1,51,92.06,57.6
1016,26,Male,7.65,5.63,10.17,3.01,2.79,0.44,14,3,3,11,76.49,10,45,66.97,41.67
1017,27,Female,7.37,6.73,3.27,0.41,0.88,1.2,4,111,26,7,96.66,2,80,54.14,77.82
1018,24,Male,3.27,8.85,11.4,2.71,0.97,5.49,7,69,17,16,59.32,1,85,83.35,49.34
1019,19,Male,6.54,4.11,3.51,6.11,2.34,1.55,12,413,9,12,60.19,2,93,49.3,65.09
1020,23,Male,3.72,7.48,6.03,7.12,5.48,5.68,6,377,50,2,99.2,8,45,98.9,42.23
1021,19,Male,8.42,3.13,2.93,0.99,2.48,3.14,7,407,116,11,95.12,10,32,90.16,48.77
1022,23,Female,1.02,8.53,5.49,5.21,2.32,3.24,10,88,82,3,53.03,6,34,54.93,25.41
1023,27,Female,0.86,8.71,7.97,7.41,5.51,0.63,14,413,17,18,44.61,3,73,55.27,35.69
1024,28,Male,1.47,5.66,6.16,2.4,5.96,1.12,5,242,114,2,77.41,1,44,79.36,31.1
1025,29,Male,2.42,4.21,3.36,7.01,2.3,5.24,1,72,94,16,67.88,6,67,58.66,36.33
1026,18,Male,0.86,8.68,4.95,1.25,5.78,4.33,3,426,117,6,80.37,7,76,46.67,42.94
1027,26,Male,1.18,9.36,7.34,6.89,0.78,0.77,14,459,77,18,59.0,1,96,84.22,51.77
1028,22,Male,3.41,3.53,10.82,3.41,1.2,0.84,4,316,66,7,88.9,5,98,55.32,41.21
1029,19,Male,1.45,7.06,5.37,6.6,2.61,5.49,12,255,108,11,71.94,3,78,97.51,44.03
1030,19,Female,8.12,9.57,7.11,1.68,2.3,4.7,7,492,111,1,99.04,9,85,49.48,76.96
1031,25,Female,1.01,7.51,10.97,0.55,1.38,0.72,4,25,19,0,45.99,1,53,83.37,24.15
1032,23,Male,9.13,8.74,10.17,4.77,2.85,3.41,4,58,43,13,97.78,6,41,41.85,62.91
1033,21,Female,8.77,4.61,2.63,2.13,4.4,5.9,8,7,52,16,92.96,8,67,90.68,67.9
1034,28,Female,2.48,3.72,4.66,6.45,0.94,3.17,4,146,19,8,84.23,2,92,55.81,48.22
1035,26,Male,1.18,5.63,9.57,6.6,2.18,0.56,8,160,29,10,85.34,7,44,69.48,19.06
1036,23,Male,1.5,5.77,8.91,5.79,0.18,2.87,10,195,33,9,62.42,9,95,44.57,32.53
1037,25,Female,5.81,8.5,9.32,3.98,5.73,1.76,5,11,63,9,71.89,1,65,85.39,58.28
1038,17,Male,6.21,5.84,2.33,7.39,4.57,3.1,1,199,94,4,65.55,1,49,79.0,57.94
1039,23,Female,3.5,4.66,5.79,4.68,1.95,4.46,5,312,45,5,88.63,5,38,66.18,33.32
1040,22,Female,3.32,9.2,8.49,1.44,1.04,2.98,1,173,7,5,73.78,8,30,45.1,32.19
1041,26,Male,5.55,8.48,5.17,4.66,3.18,0.8,4,196,1,14,79.78,8,33,84.19,47.19
1042,28,Female,3.4,7.67,6.99,4.61,1.35,4.57,2,287,25,4,67.21,2,89,46.31,55.35
1043,25,Female,9.38,4.45,9.24,5.12,3.26,1.47,11,376,6,12,60.65,4,79,46.72,62.37
1044,17,Male,4.14,4.43,6.29,0.79,2.44,0.08,4,188,21,13,64.19,6,93,87.03,47.42
1045,29,Male,2.59,6.44,7.52,5.51,3.33,0.89,5,196,119,2,62.35,9,94,91.28,40.95
1046,20,Female,1.89,6.72,4.45,3.23,3.23,3.9,9,129,31,4,41.84,7,93,98.65,42.17
1047,25,Female,6.5,4.79,4.7,4.88,0.03,5.66,12,388,56,15,82.39,4,97,59.24,67.55
1048,20,Female,3.6,3.86,2.66,7.37,4.2,4.56,11,181,37,2,86.98,10,68,83.25,40.71
1049,26,Female,2.29,5.54,11.91,2.71,3.52,1.94,14,342,97,7,76.18,7,67,81.17,25.78
1050,19,Male,3.12,6.0,7.48,4.41,3.63,2.49,4,196,97,5,54.38,9,48,91.7,25.94
1051,25,Male,3.42,3.37,2.74,6.16,1.64,3.45,13,315,1,16,82.04,5,51,44.94,37.57
1052,29,Male,6.45,6.95,2.39,0.97,5.72,0.41,2,400,40,11,45.66,3,88,89.43,69.12
1053,18,Male,2.16,3.01,3.13,2.83,2.24,5.58,13,229,113,15,95.54,1,67,92.24,42.21
1054,20,Female,7.46,4.06,8.75,1.09,1.46,2.14,3,368,49,12,79.1,5,43,43.82,44.08
1055,22,Other,3.4,4.03,6.24,6.72,0.19,2.55,1,265,114,17,83.45,6,72,54.29,39.55
1056,18,Female,5.14,7.81,6.66,6.18,3.57,0.36,9,5,86,8,71.33,3,62,62.19,54.62
1057,24,Female,6.72,6.4,8.5,2.53,5.01,0.92,3,250,23,19,78.02,8,54,61.3,47.75
1058,24,Male,5.66,8.85,8.88,0.23,1.15,1.71,7,212,57,7,76.78,8,41,55.17,44.76
1059,17,Male,6.79,4.85,9.09,3.28,4.09,1.49,10,399,78,5,50.39,1,52,55.06,45.35
1060,28,Male,3.56,4.47,1.42,0.14,0.03,1.83,6,222,26,12,73.85,2,47,41.44,43.9
1061,19,Female,9.65,8.62,10.07,2.34,3.57,1.89,6,39,25,12,69.95,4,65,78.08,70.42
1062,26,Male,4.86,6.11,2.51,1.68,0.42,4.38,1,40,55,5,43.81,2,75,69.05,56.37
1063,25,Female,3.56,4.92,7.8,1.87,5.38,0.38,12,96,33,10,71.11,7,87,63.38,41.9
1064,21,Female,3.32,5.93,3.09,5.52,1.71,2.5,14,227,9,17,98.4,7,41,61.91,40.73
1065,22,Male,0.91,5.98,10.0,5.67,2.94,0.76,4,455,77,11,85.66,1,87,71.48,38.59
1066,20,Male,7.01,7.0,9.3,5.65,2.35,4.74,1,466,113,13,52.93,4,39,56.17,44.73
1067,26,Female,2.99,3.26,2.52,6.56,3.47,5.95,11,257,36,17,76.58,1,67,50.35,44.39
1068,18,Male,9.61,4.74,6.83,6.35,1.88,3.69,6,247,69,3,53.62,5,55,65.22,58.06
1069,27,Female,2.5,6.27,8.8,5.02,5.55,3.79,11,409,12,5,90.79,5,41,58.51,29.8
1070,24,Female,5.53,6.8,2.45,1.82,1.95,0.06,5,389,96,2,86.53,7,31,75.84,48.5
1071,27,Male,7.49,4.11,2.18,2.83,3.14,2.94,4,402,62,1,99.38,2,59,87.85,66.68
1072,29,Male,8.77,4.36,4.82,3.29,2.41,3.26,9,85,49,18,55.72,4,35,65.0,51.61
1073,22,Male,1.99,8.09,11.06,5.66,1.38,5.76,8,370,68,7,72.95,1,44,82.28,31.25
1074,21,Female,9.86,8.5,1.28,4.29,5.94,0.38,4,98,107,7,91.6,3,92,85.89,98.55
1075,25,Male,9.11,3.53,4.63,5.94,4.05,0.66,10,483,29,6,84.04,7,97,46.58,72.56
1076,17,Female,9.65,9.93,9.77,1.27,3.07,2.27,11,166,4,2,45.45,7,63,91.53,66.59
1077,21,Female,8.6,6.03,4.46,1.86,3.89,2.54,10,135,7,9,45.02,4,69,50.89,65.24
1078,22,Female,8.84,7.1,1.13,0.46,3.06,3.42,14,60,48,2,51.51,8,39,44.97,61.57
1079,21,Male,6.19,7.16,7.77,4.68,4.54,5.71,6,0,86,19,89.41,1,54,88.92,58.09
1080,22,Female,8.53,5.42,11.52,7.72,1.29,3.66,11,218,5,15,48.78,4,59,83.87,49.23
1081,22,Female,5.57,6.81,7.17,4.35,5.93,5.04,11,175,32,8,54.04,1,75,89.17,56.52
1082,23,Female,5.61,7.08,9.87,1.76,1.77,3.49,10,51,35,12,85.03,6,49,96.2,44.25
1083,20,Female,5.84,8.33,0.66,4.93,2.4,2.86,12,331,26,6,75.29,4,69,94.3,70.58
1084,27,Female,9.97,7.63,8.1,5.44,5.82,5.38,12,228,29,11,89.01,10,89,63.83,76.7
1085,24,Female,1.49,6.13,2.24,4.62,1.53,0.16,13,188,12,7,68.03,1,54,61.8,40.52
1086,23,Male,8.15,4.34,8.53,2.98,1.01,3.83,14,27,8,15,87.4,5,99,57.71,67.64
1087,25,Female,3.1,3.18,7.06,6.64,3.75,4.87,1,205,40,8,61.77,5,52,71.79,25.73
1088,23,Male,3.93,7.56,3.05,3.93,5.79,1.48,2,194,49,2,54.16,3,53,54.39,48.87
1089,19,Female,1.27,6.34,7.23,7.91,5.96,0.34,12,439,69,16,80.59,7,79,59.74,35.71
1090,19,Female,3.84,9.76,8.28,1.95,1.43,0.64,10,312,50,14,65.28,9,65,40.94,45.16
1091,24,Male,9.91,3.69,10.87,1.79,1.81,4.74,9,274,0,2,96.83,8,49,92.39,51.8
1092,21,Female,4.27,3.51,10.72,0.6,4.73,1.08,14,403,79,11,81.22,7,64,63.41,30.62
1093,20,Female,6.86,4.27,11.27,3.19,0.93,1.26,8,220,101,13,86.54,8,83,63.71,48.89
1094,24,Male,1.65,5.64,10.17,1.99,1.95,2.77,8,228,93,16,42.58,7,44,87.09,13.22
1095,22,Female,9.26,4.23,6.72,6.67,3.32,1.65,10,439,82,3,66.7,8,81,51.41,62.65
1096,18,Male,8.36,6.25,10.27,4.16,1.45,5.66,14,33,76,13,87.59,9,67,55.47,56.24
1097,20,Female,4.17,5.38,8.81,0.48,0.15,2.12,6,435,76,0,98.29,2,59,48.5,44.87
1098,28,Female,3.81,10.0,8.99,2.86,0.12,0.61,4,178,85,5,92.71,4,82,50.8,59.87
1099,27,Female,4.61,9.77,2.28,5.56,5.83,1.58,9,366,60,6,51.16,10,84,59.91,61.01
1100,20,Female,4.31,5.55,2.57,3.89,2.91,1.19,4,203,88,10,94.55,10,34,60.77,38.7
1101,22,Female,2.95,8.54,2.57,2.81,5.83,2.31,12,235,114,4,87.35,7,68,41.15,53.97
1102,22,Male,9.91,4.69,2.91,1.24,2.28,1.58,14,436,7,17,86.37,8,94,52.04,80.26
1103,17,Male,8.2,3.4,5.31,5.32,4.91,5.72,11,458,78,12,90.15,6,57,46.32,56.3
1104,24,Female,3.05,3.28,4.13,1.42,0.84,5.42,5,156,46,16,50.24,3,94,66.65,44.42
1105,22,Female,9.83,3.2,1.06,6.96,0.33,4.21,7,302,37,12,64.84,3,92,68.59,80.15
1106,19,Female,0.65,8.15,8.83,7.91,2.11,5.45,12,133,106,19,43.03,1,54,65.7,27.63
1107,25,Female,4.66,5.4,5.14,4.42,0.24,3.87,13,396,48,13,42.88,10,64,99.26,36.99
1108,18,Female,5.91,8.77,1.4,0.94,2.92,4.63,11,98,20,13,91.49,6,85,75.31,76.52
1109,27,Male,0.86,9.12,9.57,5.48,3.83,4.93,4,436,107,18,84.85,3,82,99.88,43.63
1110,24,Female,2.03,5.14,0.72,1.06,0.71,0.9,2,331,45,9,61.66,3,51,79.67,38.48
1111,26,Male,2.95,5.02,6.94,7.22,2.54,3.91,13,4,87,15,70.4,9,78,65.97,35.74
1112,19,Male,7.34,5.16,9.21,4.69,5.47,3.19,7,33,79,7,54.23,4,60,50.15,48.34
1113,29,Female,9.43,6.33,4.78,6.4,3.39,5.19,12,155,80,3,67.55,5,33,54.63,60.03
1114,28,Female,6.43,3.11,7.1,5.0,2.97,3.71,1,374,107,5,53.76,3,34,63.35,34.88
1115,21,Male,5.85,3.08,1.08,4.21,3.87,3.96,10,75,74,10,74.44,8,66,87.74,50.36
1116,22,Female,5.6,8.15,3.23,4.2,5.32,3.44,7,436,27,2,89.59,7,44,63.7,55.88
1117,26,Female,3.83,8.66,8.13,5.92,4.83,1.63,8,21,36,3,92.26,5,53,85.38,47.19
1118,22,Female,8.36,4.43,9.59,7.22,1.52,3.36,6,498,115,11,68.88,9,86,92.56,55.55
1119,20,Female,5.64,7.16,1.81,1.75,0.2,5.89,2,212,81,6,93.26,6,41,60.65,56.39
1120,19,Male,2.69,4.51,11.61,0.91,1.78,3.79,1,378,37,13,85.22,2,53,54.55,27.54
1121,20,Female,1.8,8.14,5.04,0.45,5.41,5.19,5,401,82,19,94.71,5,49,52.12,41.13
1122,17,Female,9.86,5.94,11.13,6.93,2.64,3.1,10,75,67,4,92.86,1,38,74.34,60.58
1123,20,Female,0.67,8.76,6.71,0.98,4.5,2.59,8,126,98,1,70.1,3,63,81.85,37.93
1124,17,Female,9.37,9.64,7.91,5.03,4.65,1.68,8,281,95,7,62.31,1,46,99.1,71.31
1125,28,Male,2.57,6.89,2.52,2.51,3.71,5.87,10,23,114,13,89.26,9,93,74.12,54.21
1126,17,Male,6.75,9.3,10.67,4.51,1.12,5.72,13,481,22,10,85.09,10,72,71.59,57.01
1127,26,Female,3.36,3.24,1.51,0.68,3.11,5.21,4,394,33,5,50.38,10,35,79.36,23.26
1128,22,Female,8.67,6.24,11.86,4.64,2.83,5.12,3,374,110,13,41.18,5,71,97.49,53.08
1129,21,Female,5.66,6.52,5.01,7.02,3.84,2.9,9,265,48,6,77.84,2,78,81.46,63.36
1130,27,Male,1.84,5.91,2.39,2.13,5.02,3.84,7,356,110,15,96.94,3,53,62.89,43.39
1131,20,Male,3.06,5.2,7.47,2.57,0.2,0.34,14,55,113,19,53.45,4,99,47.11,45.29
1132,29,Male,3.54,8.06,10.46,1.74,1.96,0.19,10,245,76,8,77.96,6,43,89.85,33.92
1133,27,Female,8.92,6.87,5.07,1.04,4.51,1.86,5,334,64,4,59.66,4,46,45.33,62.82
1134,19,Male,7.78,3.58,0.6,0.58,4.94,3.67,12,137,117,7,66.7,7,95,80.51,70.03
1135,17,Female,8.38,9.65,10.53,5.36,1.08,4.39,4,73,63,9,52.25,5,71,41.35,64.97
1136,22,Male,1.0,9.21,7.19,2.77,2.13,2.41,9,314,79,15,54.82,9,62,95.14,30.52
1137,18,Female,6.0,5.47,1.57,3.66,3.0,4.67,8,317,23,12,61.55,5,65,80.71,57.48
1138,24,Male,9.99,4.72,10.92,2.57,3.49,5.05,12,36,70,1,69.22,5,93,82.49,67.86
1139,26,Male,7.96,7.4,9.39,5.95,2.37,2.02,8,441,89,2,75.57,10,49,61.28,50.19
1140,21,Female,1.65,3.3,6.63,5.46,4.28,5.83,11,210,54,8,84.76,7,56,93.38,23.35
1141,23,Female,6.95,6.47,5.64,5.33,2.72,1.67,14,265,11,4,69.84,5,82,76.63,64.54
1142,26,Male,7.58,7.71,8.62,6.13,1.99,3.61,4,336,45,12,91.21,6,39,67.1,54.24
1143,28,Female,5.39,5.85,4.66,4.66,2.55,1.18,14,82,45,7,47.75,1,88,50.16,60.4
1144,18,Male,1.25,9.81,8.03,0.78,1.02,4.02,4,250,46,7,61.27,7,73,58.48,38.62
1145,29,Male,0.83,8.03,2.24,3.38,0.87,0.26,1,320,38,6,97.41,7,33,57.11,34.28
1146,24,Male,9.41,9.54,2.14,2.53,3.74,3.8,8,348,94,0,50.55,8,35,50.58,67.53
1147,18,Male,2.95,9.36,4.08,2.74,2.46,5.78,2,334,24,12,48.42,8,46,86.29,39.24
1148,20,Female,4.1,3.92,10.69,1.57,5.65,2.13,1,353,112,16,79.39,4,45,84.73,27.83
1149,17,Male,8.06,7.68,10.28,1.29,2.04,4.85,9,16,100,9,84.79,2,45,53.68,58.76
1150,21,Female,7.05,7.18,6.16,3.73,3.86,1.32,12,354,21,13,51.74,7,47,73.31,49.63
1151,25,Male,9.7,3.38,7.23,7.77,4.2,3.51,9,89,65,9,53.7,7,49,68.5,50.05
1152,17,Female,1.38,5.23,7.72,0.18,4.73,1.04,3,335,103,6,64.69,9,97,49.32,33.49
1153,25,Male,7.22,6.74,4.79,2.26,2.19,5.16,14,131,25,7,88.14,3,47,66.37,61.6
1154,27,Male,1.28,6.84,8.57,7.73,2.91,0.58,3,207,93,14,64.18,2,53,51.66,29.25
1155,24,Male,0.5,8.7,7.49,2.85,4.69,4.73,12,110,30,18,75.18,6,91,47.45,42.42
1156,22,Female,1.64,7.11,4.58,5.24,5.21,4.4,3,74,92,13,72.24,4,86,46.24,47.83
1157,23,Female,6.36,6.27,3.76,2.14,1.71,5.31,6,88,21,18,89.09,7,52,48.8,55.74
1158,19,Female,6.92,8.26,11.78,4.34,1.45,2.9,8,203,31,17,94.88,10,58,77.8,50.19
1159,17,Male,4.66,7.0,3.77,1.39,2.04,5.48,3,442,49,11,76.21,7,42,53.79,45.04
1160,21,Female,0.94,9.19,2.5,4.31,3.54,2.99,3,71,49,9,90.88,8,65,99.02,45.68
1161,28,Female,6.52,9.34,10.1,3.83,5.0,2.71,14,312,66,11,57.9,1,90,69.72,68.18
1162,28,Male,1.32,7.23,9.82,6.68,3.87,0.71,2,191,101,1,58.12,2,54,52.09,27.8
1163,18,Male,1.85,6.95,3.25,6.43,1.21,5.33,4,443,93,18,83.85,2,72,42.28,49.96
1164,21,Female,5.37,7.91,10.26,1.46,0.31,5.07,3,267,52,1,99.3,5,81,57.7,58.57
1165,24,Female,3.73,8.08,10.98,7.52,3.34,0.77,13,45,6,16,52.74,10,63,85.44,32.03
1166,27,Male,4.92,8.09,4.32,3.12,4.58,1.18,9,214,101,9,46.68,9,35,42.2,39.0
1167,25,Female,6.53,7.34,4.28,0.4,3.03,2.0,3,267,47,13,50.3,5,34,83.84,48.57
1168,18,Female,2.02,8.34,2.01,0.61,2.2,1.23,11,447,30,9,81.57,8,43,40.87,40.22
1169,28,Female,8.98,4.01,7.52,3.35,1.19,3.26,11,361,96,1,95.87,8,49,63.45,53.92
1170,19,Male,5.82,8.75,8.48,7.1,3.45,0.98,12,242,55,3,60.05,9,60,92.3,48.19
1171,19,Female,0.71,5.17,1.34,1.25,3.67,5.24,3,155,30,9,52.6,1,33,86.19,26.72
1172,17,Male,6.47,9.2,2.9,3.85,5.01,5.15,9,419,43,3,50.1,1,42,82.22,62.44
1173,24,Male,4.9,3.92,3.61,4.31,4.44,2.86,14,390,56,18,47.84,7,81,52.11,46.06
1174,22,Female,7.17,3.03,5.63,7.13,3.09,3.31,5,137,3,1,83.23,7,79,81.33,55.26
1175,28,Male,7.95,3.11,9.97,0.1,4.86,1.57,11,282,42,18,53.32,10,58,97.11,36.94
1176,29,Male,9.42,4.47,3.08,7.12,0.68,4.19,9,493,51,9,98.25,2,43,93.87,69.16
1177,24,Male,9.98,3.8,9.79,2.16,1.43,3.68,2,77,103,9,92.19,10,65,61.48,56.42
1178,27,Male,5.72,6.88,10.73,6.97,4.52,5.51,14,185,62,9,75.21,1,64,80.2,51.46
1179,25,Male,5.83,6.14,2.81,3.39,2.53,0.22,10,456,68,12,83.61,2,55,85.77,60.12
1180,21,Male,0.71,7.24,11.92,2.62,3.44,2.95,14,141,62,7,79.1,4,62,78.0,25.62
1181,28,Female,8.72,4.35,6.44,7.92,5.18,3.67,1,284,106,13,99.29,6,97,63.64,73.71
1182,19,Male,0.77,8.28,6.85,6.26,5.57,3.49,5,5,46,4,47.26,3,60,55.87,32.17
1183,21,Other,6.51,7.27,7.58,3.88,5.57,4.91,8,29,46,18,93.38,10,59,92.07,52.63
1184,21,Male,1.44,4.55,9.73,2.99,2.13,3.23,5,274,75,3,80.11,4,68,61.25,27.17
1185,21,Male,3.22,5.79,8.01,2.56,3.71,0.16,10,425,51,4,73.29,6,99,96.1,47.75
1186,19,Female,1.83,8.03,8.95,5.53,3.73,5.95,9,455,113,10,65.53,4,83,85.68,42.0
1187,27,Male,1.81,7.76,5.56,3.33,1.72,4.75,1,128,34,19,99.46,6,39,75.26,35.76
1188,26,Female,1.21,6.94,7.28,5.2,2.75,0.51,12,184,19,0,89.32,5,85,92.73,42.5
1189,20,Female,3.52,9.85,3.34,3.32,2.5,5.7,8,388,112,4,41.06,2,97,68.55,66.01
1190,25,Male,4.52,3.92,4.68,2.97,4.1,3.84,10,313,61,12,42.38,3,93,91.88,50.0
1191,29,Female,4.91,6.42,7.76,2.65,3.59,2.35,10,492,28,1,85.54,7,68,64.31,48.02
1192,26,Male,4.68,7.37,0.97,7.35,5.45,1.25,12,65,79,13,72.2,1,40,86.84,55.83
1193,25,Other,5.48,9.96,7.15,6.13,1.5,5.02,8,317,61,8,74.01,4,86,92.05,68.22
1194,18,Female,8.67,6.8,6.83,5.24,3.6,0.6,7,418,102,17,59.78,8,30,46.93,49.23
1195,24,Female,6.5,6.1,2.65,5.32,4.2,4.12,13,48,16,4,95.56,9,80,85.02,65.64
1196,24,Male,0.66,9.46,11.24,1.46,0.36,3.37,11,262,10,12,53.47,5,65,99.15,28.24
1197,23,Male,2.14,6.54,1.46,7.48,3.82,5.16,14,70,29,8,80.82,2,64,62.73,49.92
1198,24,Male,3.82,9.57,1.09,0.84,3.56,2.29,14,300,58,4,43.76,10,54,45.97,48.08
1199,19,Male,9.52,8.25,10.4,1.79,1.92,0.83,3,231,70,17,56.73,3,85,81.1,73.74
1200,29,Female,1.24,4.18,10.16,0.19,5.91,0.97,14,434,85,19,94.77,6,31,60.17,12.85
1201,22,Female,7.25,4.17,5.06,2.95,2.44,3.7,8,96,75,2,65.81,5,92,96.07,63.15
1202,17,Male,0.81,5.23,11.72,2.46,1.05,2.56,6,463,78,11,78.27,3,43,91.33,15.75
1203,23,Female,3.94,3.47,11.72,6.74,3.32,2.35,3,411,9,13,60.29,2,81,61.86,34.98
1204,17,Female,7.82,6.8,1.94,5.33,2.16,4.91,12,485,79,1,76.75,1,98,50.01,85.79
1205,25,Female,3.77,9.02,6.01,6.34,1.39,0.98,10,131,106,16,42.46,3,92,53.11,58.06
1206,17,Male,4.59,5.8,1.11,1.19,2.02,4.8,3,393,94,17,55.61,6,39,75.83,42.58
1207,17,Male,9.1,7.54,4.61,4.57,4.4,3.96,2,440,38,5,94.8,7,94,75.74,84.14
1208,23,Female,1.13,9.87,1.32,3.92,1.8,5.64,14,416,78,0,49.48,4,61,84.16,46.57
1209,18,Female,5.51,4.36,2.35,3.41,3.46,3.76,13,384,61,8,50.92,1,61,60.12,52.41
1210,21,Female,3.98,5.51,10.77,7.95,0.0,2.03,14,355,10,16,69.47,8,60,48.37,30.41
1211,24,Female,9.66,3.17,10.21,3.57,0.68,1.06,3,273,76,17,88.25,4,76,80.64,62.05
1212,24,Male,8.04,4.62,10.37,0.86,4.47,0.11,8,166,97,0,52.35,5,41,44.73,40.49
1213,19,Female,1.66,8.46,0.88,0.27,1.23,5.53,4,282,103,19,92.0,5,86,61.45,59.66
1214,23,Male,9.31,7.6,7.05,6.38,4.76,2.85,3,191,3,14,45.7,7,36,48.61,54.54
1215,19,Female,2.51,8.49,9.4,0.08,1.65,0.03,7,349,96,17,71.16,4,65,76.62,40.53
1216,22,Female,1.31,5.98,8.45,7.34,1.25,5.52,6,10,70,8,58.63,1,60,45.06,29.71
1217,22,Female,5.65,8.15,6.26,1.67,4.13,5.95,7,151,47,3,49.91,9,39,63.5,40.99
1218,19,Female,7.5,7.2,1.9,7.05,0.59,5.76,4,18,41,7,56.34,1,50,48.15,66.71
1219,23,Female,7.3,5.3,9.4,6.35,2.18,0.5,4,192,24,7,86.75,3,81,59.34,61.38
1220,19,Male,5.57,5.89,10.73,1.68,0.45,1.59,3,188,44,18,42.05,7,51,74.73,32.09
1221,24,Male,5.18,6.79,3.59,6.69,1.21,0.85,14,151,26,7,99.09,1,32,53.08,53.95
1222,26,Female,9.71,9.7,6.71,2.57,0.94,0.71,9,18,63,18,83.18,3,55,54.16,79.01
1223,20,Male,8.3,9.52,6.14,1.67,4.85,4.24,2,287,2,16,58.43,1,87,93.46,81.87
1224,29,Male,7.14,9.91,8.93,1.72,3.47,1.81,11,309,105,19,62.79,1,51,53.86,62.45
1225,17,Male,2.35,3.11,11.15,6.99,4.92,1.17,4,147,16,9,64.32,3,84,57.18,28.61
1226,20,Female,8.29,8.02,5.71,0.12,5.96,4.61,3,315,81,0,41.38,3,74,50.24,69.35
1227,23,Male,7.62,9.26,5.82,5.92,3.33,4.89,4,36,41,15,44.44,10,81,67.61,64.84
